UF;Municipio;Registro;Protocolo;COBRADE;Status;Populacao;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros_Afetados;DM_Unidades_Habitacionais_Danificadas;DM_Unidades_Habitacionais_Destruidas;DM_Unidades_Habitacionais_Valor;DM_Instalacoes_publicas_de_saude_Danificadas;DM_Instalacoes_publicas_de_saude_Destruidas;DM_Instalacoes_publicas_de_saude_Valor;DM_Instalacoes_publicas_de_ensino_Danificadas;DM_Instalacoes_publicas_de_ensino_Destruidas;DM_Instalacoes_publicas_de_ensino_Valor;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Danificadas;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Destruidas;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Valor;DM_Instalacoes_publicas_de_uso_comunitario_Danificadas;DM_Instalacoes_publicas_de_uso_comunitario_Destruidas;DM_Instalacoes_publicas_de_uso_comunitario_Valor;DM_Obras_de_infraestrutura_publica_Danificadas;DM_Obras_de_infraestrutura_publica_Destruidas;DM_Obras_de_infraestrutura_publica_Valor;DA_Poluicao_ou_contaminacao_da_agua;DA_Poluicao_ou_contaminacao_do_ar;DA_Poluicao_ou_contaminacao_do_solo;DA_Diminuicao_ou_exaurimento_hidrico;DA_Incendios_em_parques_APAs_ou_APPs;PEPL_Assistencia_medica_saude_publica_e_atendimento_de_emergencias_medicas;PEPL_Abastecimento_de_agua_potavel;PEPL_Esgoto_de_aguas_pluviais_e_sistema_de_esgotos_sanitarios;PEPL_Sistema_de_limpeza_urbana_e_de_recolhimento_e_destinacao_do_lixo;PEPL_Sistema_de_desinfestacao_desinfeccao_do_habitat_controle_de_pragas_e_vetores;PEPL_Geracao_e_distribuicao_de_energia_eletrica;PEPL_Telecomunicacoes;PEPL_Transportes_locais_regionais_e_de_longo_curso;PEPL_Distribuicao_de_combustiveis_especialmente_os_de_uso_domestico;PEPL_Seguranca_publica;PEPL_Ensino;PEPR_Agricultura;PEPR_Pecuaria;PEPR_Industria;PEPR_Comercio;PEPR_Servicos;PEPL_Assistencia_medica_saude_publica_e_atendimento_de_emergencias_medicas;PEPL_Abastecimento_de_agua_potavel;PEPL_Esgoto_de_aguas_pluviais_e_sistema_de_esgotos_sanitarios;PEPL_Sistema_de_limpeza_urbana_e_de_recolhimento_e_destinacao_do_lixo;PEPL_Sistema_de_desinfestacao_desinfeccao_do_habitat_controle_de_pragas_e_vetores;PEPL_Geracao_e_distribuicao_de_energia_eletrica;PEPL_Telecomunicacoes;PEPL_Transportes_locais_regionais_e_de_longo_curso;PEPL_Distribuicao_de_combustiveis_especialmente_os_de_uso_domestico;PEPL_Seguranca_publica;PEPL_Ensino
RS;Ijui;03/01/2022;RS-F-4310207-14110-20211230;14110 - Estiagem;Reconhecido;78920;0;0;0;0;0;0;8144;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;DE 10% A 20%;;;0.0;156136.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;151241466.67;44580000.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Catuipe;03/01/2022;RS-F-4305009-14110-20211230;14110 - Estiagem;Reconhecido;9323;0;0;0;0;0;0;9323;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;24155.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92299260.0;16835960.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Centenario;30/12/2021;RS-F-4305116-14110-20211230;14110 - Estiagem;Reconhecido;2967;0;0;0;0;0;0;2865;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;194521.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15946750.0;4390050.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Itacurubi;06/01/2022;RS-F-4310553-14110-20211230;14110 - Estiagem;Reconhecido;3441;0;0;0;0;0;0;281;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;DE 10% A 20%;;0.0;39260.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56208800.0;57000.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Mato Leitao;05/01/2022;RS-F-4312153-14110-20211230;14110 - Estiagem;Reconhecido;3869;0;0;0;0;0;0;2472;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;DE 10% A 20%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13700250.0;1206808.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Boa Vista do Cadeado;30/12/2021;RS-F-4302220-14110-20211230;14110 - Estiagem;Reconhecido;2441;0;0;0;0;0;0;2441;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;63977.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93497858.7;5134500.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Itatiba do Sul;03/01/2022;RS-F-4310702-14110-20211230;14110 - Estiagem;Reconhecido;4171;0;0;0;0;0;0;1600;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;26800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17542575.0;3674780.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Coqueiros do Sul;30/12/2021;RS-F-4305850-14110-20211230;14110 - Estiagem;Reconhecido;2457;0;0;0;0;0;0;2457;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;71610.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42710040.0;2188800.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Lagoao;30/12/2021;RS-F-4311254-14110-20211230;14110 - Estiagem;Reconhecido;6185;0;0;0;0;0;0;4125;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;43560.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46726130.0;6387174.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
RS;Sao Jose do Herval;04/01/2022;RS-F-4318465-14110-20211230;14110 - Estiagem;Reconhecido;2204;0;0;0;0;0;0;148;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;5796.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012400.0;770000.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0
