UF;Municipio;Registro;Protocolo;COBRADE;Status;Populacao;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros_Afetados;DM_Unidades_Habitacionais_Danificadas;DM_Unidades_Habitacionais_Destruidas;DM_Unidades_Habitacionais_Valor;DM_Instalacoes_publicas_de_saude_Danificadas;DM_Instalacoes_publicas_de_saude_Destruidas;DM_Instalacoes_publicas_de_saude_Valor;DM_Instalacoes_publicas_de_ensino_Danificadas;DM_Instalacoes_publicas_de_ensino_Destruidas;DM_Instalacoes_publicas_de_ensino_Valor;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Danificadas;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Destruidas;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Valor;DM_Instalacoes_publicas_de_uso_comunitario_Danificadas;DM_Instalacoes_publicas_de_uso_comunitario_Destruidas;DM_Instalacoes_publicas_de_uso_comunitario_Valor;DM_Obras_de_infraestrutura_publica_Danificadas;DM_Obras_de_infraestrutura_publica_Destruidas;DM_Obras_de_infraestrutura_publica_Valor;DA_Poluicao_ou_contaminacao_da_agua;DA_Poluicao_ou_contaminacao_do_ar;DA_Poluicao_ou_contaminacao_do_solo;DA_Diminuicao_ou_exaurimento_hidrico;DA_Incendios_em_parques_APAs_ou_APPs;PEPL_Assistencia_medica_saude_publica_e_atendimento_de_emergencias_medicas;PEPL_Abastecimento_de_agua_potavel;PEPL_Esgoto_de_aguas_pluviais_e_sistema_de_esgotos_sanitarios;PEPL_Sistema_de_limpeza_urbana_e_de_recolhimento_e_destinacao_do_lixo;PEPL_Sistema_de_desinfestacao_desinfeccao_do_habitat_controle_de_pragas_e_vetores;PEPL_Geracao_e_distribuicao_de_energia_eletrica;PEPL_Telecomunicacoes;PEPL_Transportes_locais_regionais_e_de_longo_curso;PEPL_Distribuicao_de_combustiveis_especialmente_os_de_uso_domestico;PEPL_Seguranca_publica;PEPL_Ensino;PEPR_Agricultura;PEPR_Pecuaria;PEPR_Industria;PEPR_Comercio;PEPR_Servicos
RS;Carlos Barbosa;15/12/2020;RS-F-4304804-13215-20201211;13215 - Tempestade Local/Convectiva - Vendaval;Registro;25193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Santa Cruz do Sul;21/12/2020;RS-F-4316808-13213-20201211;13213 - Tempestade Local/Convectiva - Granizo;Registro;118287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Mato Queimado;10/12/2020;RS-F-4312179-14110-20201210;14110 - Estiagem;Reconhecido;1799;0.0;0.0;0.0;0.0;0.0;0.0;1320.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;91290,09;0;0;0;0;0;0;0;0;0;9937200;1986400;0;0;0
RS;Cruzaltense;09/12/2020;RS-F-4306130-14110-20201209;14110 - Estiagem;Reconhecido;2141;0.0;0.0;0.0;0.0;0.0;0.0;1430.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;35000;0;0;0;0;0;0;0;0;0;21286666;1800000;0;0;0
RS;Centenario;10/12/2020;RS-F-4305116-14110-20201209;14110 - Estiagem;Reconhecido;2967;0.0;0.0;0.0;0.0;0.0;0.0;607.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;69146,29;0;0;0;0;0;0;0;0;0;3845508;2646783;0;0;0
RS;Derrubadas;10/12/2020;RS-F-4306320-14110-20201209;14110 - Estiagem;Reconhecido;3190;0.0;0.0;0.0;0.0;0.0;0.0;3190.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;11900;0;0;0;0;0;0;0;0;0;23525892;5481237,25;0;0;0
RS;Horizontina;10/12/2020;RS-F-4309605-14110-20201208;14110 - Estiagem;Reconhecido;18350;0.0;0.0;0.0;0.0;0.0;0.0;74.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;DE 10% A 20%;;0;39900;0;0;0;0;0;0;0;0;0;36360600;8617660;0;0;0
RS;Tabai;14/04/2021;RS-F-4320859-15110-20201208;15110 - Doencas infecciosas virais;Nao reconhecido;4131;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Miraguai;08/12/2020;RS-F-4312302-14110-20201208;14110 - Estiagem;Reconhecido;4855;0.0;0.0;0.0;0.0;0.0;0.0;4855.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;40930;0;0;0;0;0;0;0;0;0;2123200;2302330;0;0;0
RS;Rondinha;08/12/2020;RS-F-4316204-14110-20201208;14110 - Estiagem;Reconhecido;5520;0.0;0.0;0.0;0.0;0.0;0.0;3200.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;14190;0;0;0;0;0;0;0;0;0;14196000;3600000;0;0;0
RS;Barracao;03/12/2020;RS-F-4301800-14110-20201203;14110 - Estiagem;Reconhecido;5355;0.0;0.0;0.0;0.0;0.0;0.0;2355.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;52811;0;0;0;0;0;0;0;0;0;56890324,4;11292480;0;0;0
RS;Sete de Setembro;03/12/2020;RS-F-4320578-14110-20201203;14110 - Estiagem;Reconhecido;2126;0.0;0.0;0.0;0.0;0.0;0.0;800.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;21734;0;0;0;0;0;0;0;0;0;5872660,2;5259407,9;0;0;0
RS;Boa Vista das Missoes;03/12/2020;RS-F-4302154-14110-20201203;14110 - Estiagem;Reconhecido;2114;0.0;0.0;0.0;0.0;0.0;0.0;2114.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;8000;0;0;0;0;0;0;0;0;0;7560308,84;1901390,4;0;0;0
RS;Carlos Barbosa;03/12/2020;RS-F-4304804-13215-20201202;13215 - Tempestade Local/Convectiva - Vendaval;Registro;25193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Carlos Barbosa;03/12/2020;RS-F-4304804-12200-20201202;12200 - Enxurradas;Registro;25193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Fontoura Xavier;04/12/2020;RS-F-4308300-13215-20201202;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;10712;0.0;5.0;1.0;12.0;46.0;0.0;776.0;210.0;0.0;115000;0.0;0.0;0;1.0;0.0;5000;1.0;0.0;348,5;1.0;0.0;3000;0.0;0.0;0;;;;;;5000;0;0;50000;0;0;0;0;0;0;0;2560000;0;0;26000;0
RS;Nova Ramada;09/12/2020;RS-F-4313334-13215-20201202;13215 - Tempestade Local/Convectiva - Vendaval;Registro;2437;0.0;0.0;0.0;0.0;0.0;0.0;2437.0;15.0;0.0;17000;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;1.0;0.0;15000;0.0;0.0;0;;;;;;0;0;0;0;0;0;10000;0;0;0;0;0;17000;0;0;0
RS;Coronel Bicaco;04/12/2020;RS-F-4305900-13215-20201202;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;7748;0.0;0.0;0.0;0.0;6.0;0.0;600.0;100.0;0.0;320600;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;7570;0;0;0;0;0;0;0;0;0;0;0;0
RS;Tupanci do Sul;03/12/2020;RS-F-4322186-14110-20201202;14110 - Estiagem;Reconhecido;1574;0.0;0.0;0.0;0.0;0.0;0.0;146.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;DE 10% A 20%;;0;18261;0;0;0;0;0;0;0;0;0;24849580;2662990,08;0;0;0
RS;Ubiretama;03/12/2020;RS-F-4322343-14110-20201202;14110 - Estiagem;Reconhecido;2296;0.0;0.0;0.0;0.0;0.0;0.0;87.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;25361,55;0;0;0;0;0;0;0;0;0;1839600;12519607,2;0;0;0
RS;Santo Expedito do Sul;03/12/2020;RS-F-4317954-14110-20201202;14110 - Estiagem;Reconhecido;2461;0.0;0.0;0.0;0.0;0.0;0.0;1260.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;5990;0;0;0;0;0;0;0;0;0;16343940;12379125;0;0;0
RS;Vila Maria;07/12/2020;RS-F-4323408-13215-20201201;13215 - Tempestade Local/Convectiva - Vendaval;Registro;4221;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2400;1.0;0.0;3500;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Sao Jose do Inhacora;07/12/2020;RS-F-4318499-14110-20201201;14110 - Estiagem;Reconhecido;2200;0.0;0.0;0.0;0.0;0.0;0.0;420.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;7300;0;0;0;0;0;0;0;0;0;3728650;7530880;0;0;0
RS;Sao Jose do Ouro;01/12/2020;RS-F-4318606-14110-20201201;14110 - Estiagem;Reconhecido;6906;0.0;0.0;0.0;0.0;0.0;0.0;2481.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;36360;0;0;0;0;0;0;0;0;0;24930624;4210800;0;0;0
RS;Santo Antonio das Missoes;01/12/2020;RS-F-4317707-14110-20201201;14110 - Estiagem;Reconhecido;11210;0.0;0.0;0.0;0.0;0.0;0.0;250.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;DE 0% A 5%;;0;2599;0;0;0;0;0;0;0;0;0;40761800;48079629;0;0;0
RS;Novo Xingu;01/12/2020;RS-F-4313466-14110-20201201;14110 - Estiagem;Reconhecido;1757;0.0;0.0;0.0;0.0;0.0;0.0;1254.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;8033;0;0;0;0;0;0;0;0;0;16495000;5335500;0;0;0
RS;Sao Joao da Urtiga;02/12/2020;RS-F-4318424-14110-20201201;14110 - Estiagem;Reconhecido;4726;0.0;0.0;0.0;0.0;0.0;0.0;4726.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;ATE 40%;0;124000;0;0;0;0;0;0;0;0;0;16637500;2691194;0;0;0
RS;Pinhal;30/11/2020;RS-F-4314456-14110-20201130;14110 - Estiagem;Reconhecido;2515;0.0;0.0;0.0;0.0;0.0;0.0;2616.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;121543,73;0;0;0;0;0;0;0;0;0;4357500;4945376,2;0;0;0
RS;Ametista do Sul;30/11/2020;RS-F-4300646-14110-20201130;14110 - Estiagem;Reconhecido;7323;0.0;0.0;0.0;0.0;0.0;0.0;3512.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;42657,93;0;0;0;0;0;0;0;0;0;11304324;1832600;0;0;0
RS;Vila Maria;01/12/2020;RS-F-4323408-13215-20201129;13215 - Tempestade Local/Convectiva - Vendaval;Registro;4221;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;3000;0.0;0.0;0;2.0;0.0;3500;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;20000;0;0;0
RS;Benjamin Constant do Sul;27/11/2020;RS-F-4302055-14110-20201127;14110 - Estiagem;Reconhecido;2307;0.0;0.0;0.0;0.0;0.0;0.0;1800.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;236325,52;0;0;0;0;0;0;0;0;0;4897500;1134000;0;0;0
RS;Chiapetta;11/12/2020;RS-F-4305405-14110-20201127;14110 - Estiagem;Reconhecido;4044;0.0;0.0;0.0;0.0;0.0;0.0;1544.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;21400;0;0;0;0;0;0;0;0;0;53904817,83;10257956;0;0;0
RS;Gaurama;30/11/2020;RS-F-4308706-14110-20201127;14110 - Estiagem;Reconhecido;5862;0.0;0.0;0.0;0.0;0.0;0.0;2490.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;233000;0;0;0;0;0;0;0;0;0;11634900;5457000;0;0;0
RS;Redentora;14/12/2020;RS-F-4315404-14110-20201127;14110 - Estiagem;Reconhecido;10222;0.0;0.0;0.0;0.0;0.0;0.0;8455.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;51713;0;0;0;0;0;0;0;0;0;34139989;8864000;0;0;0
RS;Rolador;30/11/2020;RS-F-4315958-14110-20201126;14110 - Estiagem;Reconhecido;2546;0.0;0.0;0.0;0.0;0.0;0.0;210.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;2500;0;0;0;0;0;0;0;0;0;20300566,2;22871829,25;0;0;0
RS;Cacique Doble;26/11/2020;RS-F-4303202-14110-20201126;14110 - Estiagem;Reconhecido;4865;0.0;0.0;0.0;0.0;0.0;0.0;702.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;51849,22;0;0;0;0;0;0;0;0;0;40904005;2538132,67;0;0;0
RS;Severiano de Almeida;26/11/2020;RS-F-4320602-14110-20201126;14110 - Estiagem;Reconhecido;3842;0.0;0.0;0.0;0.0;0.0;0.0;2443.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;45043,84;0;0;0;0;0;0;0;0;0;21058132;5376420;0;0;0
RS;Sede Nova;26/11/2020;RS-F-4320230-14110-20201126;14110 - Estiagem;Reconhecido;3011;0.0;0.0;0.0;0.0;0.0;0.0;3011.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;908,1;0;0;0;0;0;0;0;0;0;12087840;2045000;0;0;0
RS;Campo Novo;30/11/2020;RS-F-4304002-14110-20201126;14110 - Estiagem;Reconhecido;5459;0.0;0.0;0.0;0.0;0.0;0.0;5459.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;7400;0;0;0;0;0;0;0;0;0;50031750;1760526;0;0;0
RS;Crissiumal;26/11/2020;RS-F-4306007-14132-20201125;14132 - Incendio Florestal - Incendios em areas nao protegidas, com reflexos na qualidade do ar;Registro;14085;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;0;;DE 0% A 5%;DE 0% A 5%;;;0;2000;0;0;0;10000;0;0;0;0;0;0;0;0;0;0
RS;Cerro Largo;27/11/2020;RS-F-4305207-14110-20201125;14110 - Estiagem;Reconhecido;13289;0.0;0.0;0.0;0.0;0.0;0.0;2724.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;8087,5;0;0;0;0;0;0;0;0;0;11608680;5659000,2;0;0;0
RS;Viadutos;25/11/2020;RS-F-4322905-14110-20201125;14110 - Estiagem;Reconhecido;5311;0.0;0.0;0.0;0.0;0.0;0.0;2668.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;11900;0;0;0;0;0;0;0;0;0;13031160;648180;0;0;0
RS;Engenho Velho;26/11/2020;RS-F-4306924-14110-20201125;14110 - Estiagem;Reconhecido;1530;0.0;0.0;0.0;0.0;0.0;0.0;900.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;10000;0;0;0;0;0;0;0;0;0;2665200;1879200;0;0;0
RS;Vista Gaucha;01/12/2020;RS-F-4323705-14110-20201125;14110 - Estiagem;Reconhecido;2759;0.0;0.0;0.0;0.0;0.0;0.0;1800.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;62500;0;0;0;0;0;0;0;0;0;7130400;4016000;0;0;0
RS;Sao Gabriel;25/11/2020;RS-F-4318309-14110-20201124;14110 - Estiagem;Reconhecido;60508;0.0;0.0;0.0;0.0;0.0;0.0;420.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;DE 0% A 5%;;0;450;0;0;0;0;0;0;0;0;0;17194473;220500;0;0;0
RS;Guarani das Missoes;24/11/2020;RS-F-4309506-14110-20201124;14110 - Estiagem;Reconhecido;8115;0.0;0.0;0.0;0.0;0.0;0.0;279.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;11600;0;0;0;0;0;0;0;0;0;16074528,33;16149105;0;0;0
RS;Dezesseis de Novembro;10/12/2020;RS-F-4306353-14110-20201124;14110 - Estiagem;Reconhecido;2866;0.0;0.0;0.0;0.0;0.0;0.0;70.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;12020;0;0;0;0;0;0;0;0;0;3156348;27907194;0;0;0
